,shot_noise,shot_noise,shot_noise,shot_noise,shot_noise,motion_blur,motion_blur,motion_blur,motion_blur,motion_blur,snow,snow,snow,snow,snow,pixelate,pixelate,pixelate,pixelate,pixelate,gaussian_noise,gaussian_noise,gaussian_noise,gaussian_noise,gaussian_noise,defocus_blur,defocus_blur,defocus_blur,defocus_blur,defocus_blur,brightness,brightness,brightness,brightness,brightness,fog,fog,fog,fog,fog,zoom_blur,zoom_blur,zoom_blur,zoom_blur,zoom_blur,frost,frost,frost,frost,frost,glass_blur,glass_blur,glass_blur,glass_blur,glass_blur,impulse_noise,impulse_noise,impulse_noise,impulse_noise,impulse_noise,contrast,contrast,contrast,contrast,contrast,jpeg_compression,jpeg_compression,jpeg_compression,jpeg_compression,jpeg_compression,elastic_transform,elastic_transform,elastic_transform,elastic_transform,elastic_transform
,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
Calian2021Defending,0.9421,0.9383,0.9217,0.9137,0.8959,0.9443,0.9356,0.9232,0.9234,0.9081,0.9390000000000001,0.9279999999999999,0.9129999999999999,0.8917,0.9036,0.9443,0.9418,0.9386,0.9258,0.8682,0.9359999999999999,0.9276,0.9064,0.9001,0.8899,0.9490000000000001,0.9470000000000001,0.9439,0.9385,0.9253,0.9493,0.9493,0.9489,0.9485,0.9440000000000001,0.9498,0.9413,0.9302,0.9113,0.8344,0.9395,0.9395,0.9366,0.9344,0.9254,0.9447,0.9392,0.9309,0.9288,0.9209,0.9099,0.9097,0.9118,0.8655,0.8685,0.9318,0.9151,0.8998,0.8646,0.828,0.9497,0.9457,0.9432,0.9385,0.9143,0.9365,0.9281,0.9222,0.9166,0.9052,0.9286,0.9324,0.9265,0.9068,0.8781
Gowal2020Uncovering_70_16_Linf,0.8478,0.8416,0.8211,0.8085,0.7803,0.8238,0.7982,0.7611,0.7636,0.7255,0.8454,0.8296,0.8086,0.7558,0.7211,0.8473,0.8389,0.8365,0.825,0.8066,0.8426,0.8325,0.8089,0.7933,0.7794,0.8471,0.8334,0.8161,0.7977,0.7483,0.8546,0.8524,0.8396,0.8163,0.7345,0.8306,0.7678,0.6732,0.5437,0.3283,0.8139,0.8119,0.8004,0.7888,0.7718,0.8289,0.7747,0.7157,0.7267,0.6976,0.8088,0.8061,0.8015,0.7536,0.7558,0.8222,0.7909,0.7647,0.7102,0.6647,0.8138,0.6183,0.4366,0.266,0.1895,0.8406,0.8325,0.8282,0.826,0.8216,0.8036,0.8058,0.8004,0.7843,0.778
Gowal2020Uncovering_70_16_extra_Linf,0.9043,0.8952,0.8595,0.8368,0.7922,0.8866,0.8593,0.8206,0.8243,0.7788,0.9014,0.8906,0.8714,0.8423,0.8243,0.9042,0.8991,0.8944,0.8817,0.8613,0.8972,0.8752,0.8361,0.8099,0.7836,0.9064,0.8937,0.8759,0.8579,0.805,0.9142,0.9131,0.907,0.8949,0.8479,0.892,0.8212,0.7232,0.5942,0.3582,0.8747,0.8714,0.8605,0.8508,0.8326,0.8993,0.8732,0.8320000000000001,0.8327,0.8003,0.8529,0.8549,0.8529,0.7883,0.7965,0.8689,0.8299,0.794,0.725,0.6584,0.8709,0.6793,0.4836,0.2764,0.1812,0.8959999999999999,0.8871,0.8852,0.8804,0.8768,0.8672,0.8687,0.8607,0.8476,0.8311
Gowal2020Uncovering_70_16_L2,0.919,0.917,0.889,0.8809999999999999,0.861,0.8959999999999999,0.878,0.851,0.847,0.818,0.916,0.9,0.88,0.851,0.858,0.915,0.909,0.906,0.897,0.877,0.913,0.902,0.875,0.868,0.8590000000000001,0.914,0.902,0.8859999999999999,0.871,0.835,0.921,0.915,0.913,0.91,0.889,0.902,0.865,0.785,0.652,0.386,0.8859999999999999,0.882,0.873,0.8690000000000001,0.843,0.917,0.907,0.884,0.8809999999999999,0.8490000000000001,0.87,0.871,0.8640000000000001,0.818,0.8290000000000001,0.913,0.889,0.868,0.828,0.754,0.897,0.7879999999999999,0.632,0.416,0.208,0.909,0.902,0.903,0.901,0.894,0.875,0.866,0.866,0.856,0.841
Gowal2020Uncovering_70_16_extra_L2,0.9390000000000001,0.9329999999999999,0.898,0.887,0.851,0.9309999999999999,0.915,0.885,0.883,0.838,0.935,0.912,0.9109999999999999,0.8859999999999999,0.88,0.9420000000000001,0.9420000000000001,0.941,0.9309999999999999,0.91,0.9329999999999999,0.912,0.889,0.866,0.8420000000000001,0.941,0.935,0.9259999999999999,0.915,0.866,0.9470000000000001,0.946,0.941,0.941,0.919,0.94,0.9009999999999999,0.8320000000000001,0.711,0.442,0.93,0.922,0.912,0.9109999999999999,0.889,0.948,0.9309999999999999,0.902,0.9,0.8640000000000001,0.887,0.8959999999999999,0.904,0.8240000000000001,0.85,0.935,0.915,0.884,0.805,0.684,0.93,0.8370000000000001,0.722,0.486,0.19399999999999998,0.934,0.93,0.93,0.93,0.929,0.9279999999999999,0.919,0.9109999999999999,0.907,0.884
Hendrycks2020AugMixWRN,0.9352,0.9119,0.8536,0.8289,0.7704,0.9448,0.9349,0.9143,0.9156,0.8943,0.9356,0.908,0.9014,0.8779,0.8585,0.9419,0.9216,0.9041,0.8057,0.5870000000000001,0.9135,0.8655,0.7955,0.7587,0.7122,0.9506,0.9487,0.9458,0.9337,0.9053,0.9495,0.9469,0.9447,0.9385,0.9238,0.951,0.947,0.9367,0.9173,0.8251,0.9406,0.9418,0.9349,0.9264,0.9074,0.9347,0.915,0.8859999999999999,0.8846,0.8474,0.8588,0.8582,0.8707,0.7652,0.7939,0.9378,0.9204,0.903,0.8363,0.738,0.9501,0.939,0.9282,0.9082,0.7906,0.9134,0.8908,0.8787,0.8687,0.8533,0.9306,0.935,0.9262,0.8938,0.8526
Hendrycks2020AugMixResNeXt,0.9344,0.9091,0.8281,0.7928,0.7116,0.9505,0.9387,0.9238,0.9237,0.8977,0.9448,0.9126,0.9079,0.8822,0.8674,0.9492,0.9322,0.9151,0.8345,0.6499,0.909,0.8426,0.7577,0.7045,0.6518,0.9575,0.9546,0.9508,0.9438,0.9177,0.9561,0.9547,0.9502,0.9466,0.9273,0.9561,0.9503,0.9359,0.917,0.8170000000000001,0.9468,0.946,0.9398,0.9339,0.9147,0.9403,0.9218,0.8923,0.8901,0.8551,0.8442,0.8567,0.8712,0.7485,0.7832,0.9497,0.9371,0.9226,0.8711,0.7878,0.9553,0.9435,0.9322,0.9109,0.8059,0.9211,0.9009,0.8875,0.8763,0.8572,0.9372,0.9401,0.934,0.8976,0.8579
Standard,0.8504,0.7573,0.5349,0.4535,0.3429,0.9029,0.8385,0.7440000000000001,0.7483,0.6525,0.8991,0.8043,0.8365,0.8051,0.7493,0.9195,0.8604,0.8002,0.6035,0.4155,0.7778,0.5788,0.3919,0.3261,0.2767,0.9458,0.9338,0.8898,0.7744,0.5306,0.9475,0.9438,0.9378,0.9281,0.907,0.9451,0.9356,0.9229,0.8959,0.7399,0.8771,0.8455,0.7748,0.7029,0.5798,0.8955,0.835,0.7261,0.7086,0.5870000000000001,0.5343,0.5575,0.5695,0.4319,0.4568,0.8289,0.6905,0.5737,0.4011,0.2708,0.9427,0.9216,0.8972,0.8359,0.5331,0.8636,0.7965,0.7796,0.7415,0.6970000000000001,0.9047,0.9022,0.8586,0.7894,0.7341
Kireev2021Effectiveness_Gauss50percent,0.9232,0.9172,0.9113,0.9079,0.9008,0.903,0.86,0.8045,0.8047,0.7414,0.9129,0.8805,0.8561,0.8205,0.8233,0.923,0.9098,0.9045,0.8689,0.7818,0.9197,0.9093,0.9064,0.904,0.902,0.9288,0.9162,0.8902,0.8504,0.7374,0.9309,0.9247,0.9173,0.908,0.8799,0.9232,0.8947,0.8402,0.7558,0.5231,0.8887,0.8796,0.8575,0.8370000000000001,0.7963,0.913,0.8911,0.8631,0.8629,0.8282,0.8315,0.8311,0.8417,0.7181,0.7415,0.921,0.9102,0.8947,0.8519,0.7869,0.917,0.8447,0.7559999999999999,0.5717,0.2279,0.9166,0.9044,0.8975,0.8897,0.88,0.893,0.8941,0.8717,0.8412,0.8139
