,brightness,brightness,brightness,brightness,brightness,contrast,contrast,contrast,contrast,contrast,defocus_blur,defocus_blur,defocus_blur,defocus_blur,defocus_blur,elastic_transform,elastic_transform,elastic_transform,elastic_transform,elastic_transform,fog,fog,fog,fog,fog,frost,frost,frost,frost,frost,gaussian_noise,gaussian_noise,gaussian_noise,gaussian_noise,gaussian_noise,glass_blur,glass_blur,glass_blur,glass_blur,glass_blur,impulse_noise,impulse_noise,impulse_noise,impulse_noise,impulse_noise,jpeg_compression,jpeg_compression,jpeg_compression,jpeg_compression,jpeg_compression,motion_blur,motion_blur,motion_blur,motion_blur,motion_blur,pixelate,pixelate,pixelate,pixelate,pixelate,shot_noise,shot_noise,shot_noise,shot_noise,shot_noise,snow,snow,snow,snow,snow,zoom_blur,zoom_blur,zoom_blur,zoom_blur,zoom_blur
,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
Hendrycks2020AugMix_WRN,0.7621,0.7564,0.7446,0.7282,0.6836,0.7568,0.7246,0.6946,0.6414,0.4451,0.7625,0.7568,0.7432,0.7288,0.6796,0.7156,0.7212,0.7138,0.6565,0.5975,0.7598,0.7321,0.7048,0.6464,0.4863,0.7259,0.6818,0.6187,0.6097,0.5483,0.6563,0.5539999999999999,0.4482,0.3929,0.34299999999999997,0.5712,0.5851,0.6013,0.4561,0.4904,0.7306,0.6927,0.6308,0.5211,0.409,0.6764,0.635,0.6195,0.5988,0.5758,0.7441,0.7228,0.6949,0.6968,0.6642,0.7476,0.7198,0.6974,0.6095,0.4027,0.7045,0.6555,0.5406,0.4842,0.3995,0.7392,0.6732,0.6672,0.6256,0.5862,0.7390000000000001,0.7383,0.7261,0.7115,0.6766
Hendrycks2020AugMix_ResNeXt,0.7865,0.7766,0.7664,0.7488,0.7047,0.7819,0.7521,0.7192,0.6573,0.449,0.7894,0.7806,0.7677,0.7516,0.7068,0.7441,0.7499,0.7368,0.6895,0.6277,0.7845,0.7612,0.7225,0.6584,0.4970000000000001,0.7419,0.6973,0.6214,0.6108,0.5419,0.642,0.4926,0.3653,0.312,0.27,0.5439,0.5658,0.6061,0.3951,0.4589,0.7758,0.7531,0.7312,0.6804,0.6063,0.7049,0.6579,0.6412,0.6245,0.5875,0.7699,0.7509,0.7229,0.7240000000000001,0.6919,0.7654,0.723,0.6908,0.5225,0.2531,0.7091,0.6357,0.4715,0.4062,0.3199,0.7653,0.6992,0.6962,0.6519,0.6051,0.7676,0.7658,0.7545,0.7396,0.7124
Gowal2020Uncovering_extra_Linf,0.6953,0.6889,0.6682,0.6373,0.5502,0.6424,0.439,0.2767,0.1292,0.028999999999999998,0.6819,0.66,0.6338,0.6076,0.5464,0.6214,0.626,0.6084,0.5987,0.5896,0.6636,0.5579999999999999,0.4284,0.2858,0.1115,0.6586,0.6052,0.5436,0.544,0.4944,0.6761,0.6391,0.5585,0.5118,0.4611,0.6298,0.6331,0.6224,0.5577,0.5706,0.5605,0.4392,0.3503,0.2347,0.1585,0.6708,0.6592,0.6537,0.649,0.6431,0.648,0.61,0.5652,0.5658,0.5228,0.6833,0.6719,0.6696,0.6543,0.6298,0.6835,0.6713,0.6052,0.5551,0.4641,0.6787,0.6488,0.6194,0.5672,0.5231,0.6366,0.6337,0.6144,0.5987,0.5751
Gowal2020Uncovering_Linf,0.6072,0.5961,0.5709,0.5365,0.4255,0.5491,0.3384,0.199,0.0852,0.024,0.5977,0.5749,0.5474,0.5238,0.4732,0.5427,0.5443,0.5305,0.522,0.5202,0.5768,0.474,0.3517,0.2371,0.0972,0.5629,0.4944,0.4274,0.4364,0.3866,0.6021,0.5870000000000001,0.5416,0.5133,0.477,0.5702,0.5702,0.5537,0.5239,0.5195,0.5467,0.4708,0.4059,0.29100000000000004,0.2061,0.5879,0.5798,0.573,0.5716,0.564,0.5657,0.5263,0.4922,0.4868,0.4481,0.6013,0.5924,0.5893,0.5784,0.5553,0.6051,0.5982,0.5646,0.5361,0.4741,0.5961,0.5708,0.5441,0.491,0.4353,0.5512,0.5448,0.5291,0.5167,0.4939
Diffenderfer2021Winning_LRR,0.7839,0.7777,0.7698,0.7561,0.7190000000000001,0.7795,0.755,0.7365,0.6956,0.5132,0.7831,0.7792,0.7676,0.7543,0.7166,0.7433,0.7465,0.7389,0.6867,0.6159,0.7809,0.7563,0.7239,0.6629,0.4926,0.7489,0.7036,0.6499,0.6393,0.5849,0.6789,0.5512,0.4253,0.369,0.3066,0.5685,0.584,0.6018,0.4554,0.4816,0.7621,0.7275,0.684,0.5707,0.4413,0.7048,0.6574,0.6406,0.6212,0.599,0.7696,0.7497,0.7237,0.7272,0.6970000000000001,0.7703,0.7509999999999999,0.7337,0.6732,0.5564,0.7244,0.6729999999999999,0.5276,0.4674,0.3699,0.7568,0.7040000000000001,0.6920000000000001,0.6499,0.6164,0.7672,0.7613,0.7509999999999999,0.7341,0.7027
Diffenderfer2021Winning_LRR_CARD_Deck,0.7987,0.7916,0.7847,0.7677,0.7263,0.7903,0.7485,0.7095,0.6468,0.4467,0.7961,0.7871,0.7747,0.7536,0.7083,0.7511,0.7581,0.7512,0.7091,0.6592,0.7915,0.764,0.7144,0.6391,0.4421,0.7724,0.7357,0.6893,0.6816,0.6316,0.7501,0.7138,0.6822,0.6723,0.6593,0.6286,0.6407,0.6605,0.5044,0.5435,0.7853,0.765,0.7406,0.6707,0.5678,0.7518,0.7286,0.7143,0.7048,0.6869,0.7722,0.7532,0.7182,0.7207,0.6834,0.7885,0.775,0.7657,0.7238,0.6348,0.768,0.7501,0.7108,0.6977,0.6689,0.7807,0.7314,0.7159,0.6697,0.6512,0.7712,0.769,0.7557,0.7388,0.7082
Diffenderfer2021Winning_Binary,0.775,0.7663,0.7552,0.7393,0.6926,0.7676,0.731,0.6997,0.6415,0.4229,0.7757,0.769,0.7559,0.7367,0.7016,0.7273,0.7297,0.7202,0.6669,0.5902,0.7713,0.7455,0.7085,0.6476,0.4861,0.7302,0.6761,0.6069,0.5944,0.5288,0.6941,0.621,0.5355,0.4901,0.449,0.5237,0.5343,0.5565,0.4216,0.4399,0.7272,0.6747,0.6146,0.4724,0.3391,0.6998,0.6542,0.6374,0.6172,0.5921,0.7531,0.7305,0.7061,0.7051,0.6709,0.7603,0.7390000000000001,0.7208,0.6758,0.5785,0.73,0.6946,0.6028,0.5584,0.4863,0.7399,0.6605,0.6583,0.6162,0.5749,0.7507,0.7466,0.7340000000000001,0.7159,0.6831
Diffenderfer2021Winning_Binary_CARD_Deck,0.7855,0.7767,0.7644,0.7451,0.6893,0.7759,0.7198,0.6681,0.5857,0.3261,0.7827,0.7705,0.7541,0.7287,0.6759999999999999,0.7357,0.7414,0.7289,0.6844,0.6317,0.7836,0.7472,0.7023,0.6265,0.4314,0.7548,0.7126,0.6598,0.6597,0.6001,0.7553,0.7304,0.7058,0.691,0.6814,0.6048,0.6125,0.6329,0.4737,0.5094,0.7633,0.7335,0.7047,0.6216,0.5325,0.7478,0.7191,0.7049,0.6915,0.6774,0.7572,0.7303,0.6945,0.6936,0.655,0.7728,0.7573,0.7429,0.7002,0.5959,0.7677,0.7533,0.7239,0.716,0.6867,0.7592,0.7016,0.6799,0.6409,0.6184,0.753,0.7471,0.733,0.7139,0.6824
Addepalli2021Towards_PARN18,0.6211,0.6115,0.5906,0.5595,0.4787,0.5629,0.3907,0.2686,0.14300000000000002,0.0373,0.6104,0.5829,0.5523,0.5304,0.4789,0.5529999999999999,0.5536,0.5365,0.5294,0.5209,0.5897,0.4889,0.3733,0.2549,0.1087,0.5859,0.5368,0.4695,0.4705,0.4164,0.6182,0.6038,0.5716,0.5417,0.5124,0.5705,0.5737,0.5565,0.5156,0.5163,0.5998,0.5624,0.5147,0.4023,0.294,0.6041,0.5953,0.5895,0.5868,0.5796,0.5761,0.5382,0.4999,0.4975,0.4624,0.6132,0.603,0.5997,0.5869,0.5629,0.6205,0.6168,0.5877,0.5649,0.5113,0.6122,0.5904,0.564,0.5242,0.4817,0.564,0.557,0.541,0.5303,0.5081
Addepalli2021Towards_WRN34,0.6612,0.6483,0.629,0.601,0.5244,0.601,0.413,0.2831,0.1501,0.0367,0.6479,0.6225,0.5948,0.5679,0.5046,0.5824,0.5841,0.5723,0.5581,0.5497,0.6252,0.521,0.3998,0.2813,0.1164,0.6244,0.5759,0.508,0.507,0.4457,0.6502,0.6324,0.5878,0.5586,0.5251,0.5992,0.5995,0.5866,0.5378,0.5375,0.6286,0.592,0.551,0.4678,0.3738,0.6358,0.6241,0.6194,0.6153,0.6076,0.6104,0.5701,0.5238,0.5243,0.4813,0.6477,0.6413,0.6321,0.6204,0.5883,0.6534,0.65,0.6141,0.5872,0.5317,0.6522,0.6274,0.6021,0.5634,0.5248,0.5955,0.5896,0.5718,0.5582,0.5327
Modas2021PRIMEResNet18,0.7739,0.7698,0.7601,0.7442,0.7095,0.7709,0.7508,0.7316,0.7032,0.604,0.7733,0.7593,0.7371,0.707,0.639,0.7184,0.7261,0.7147,0.6767,0.6272,0.7717,0.7484,0.7074,0.6518,0.4926,0.7423,0.7127,0.6769,0.6801,0.6395,0.7315,0.7068,0.6725,0.6565,0.6407,0.623,0.6319,0.6361,0.5417,0.5471,0.7361,0.68,0.6207,0.5216,0.4336,0.7184,0.677,0.6553,0.6399,0.6178,0.7458,0.7153,0.6769,0.6785,0.6433,0.7563,0.7286,0.7057,0.6267,0.5212,0.7488,0.7284,0.7001,0.6911,0.6648,0.7527,0.7045,0.6824,0.6457,0.6284,0.7428,0.7341,0.718,0.697,0.6658
Erichson2022NoisyMix,0.7887,0.7659,0.6938,0.664,0.597,0.7888,0.7653,0.7323,0.7305,0.6957,0.7925,0.74,0.7366,0.7,0.656,0.7977,0.7792,0.7606,0.6877,0.5489,0.7666,0.7109,0.6427,0.6046,0.5732,0.8101,0.8017,0.7868,0.7634,0.7187,0.8097,0.8034,0.7896,0.7744,0.7241,0.81,0.7935,0.758,0.7166,0.5775,0.7809,0.7793,0.766,0.7496,0.721,0.7835,0.7417,0.6895,0.6884,0.6334,0.6286,0.6355,0.6528,0.5229,0.5414,0.8111,0.8104,0.8087,0.8033,0.8018,0.8071,0.7716,0.7376,0.6672,0.3828,0.7563,0.7151,0.6997,0.6826,0.6571,0.7624,0.7724,0.7612,0.7121,0.6538
Addepalli2022Efficient_WRN_34_10,0.6816,0.6689,0.6102,0.5803,0.5064,0.6409,0.5995,0.5611,0.5587,0.5168,0.6695,0.6484,0.6201,0.5767,0.5478,0.6785,0.6701,0.6641,0.649,0.6196,0.6762,0.6414,0.578,0.5358,0.497,0.6749,0.652,0.6244,0.6013,0.5432,0.6855,0.6786,0.663,0.6389,0.5722,0.6583,0.569,0.4518,0.3217,0.1393,0.6286,0.62,0.6027,0.5904,0.5669,0.6558,0.6155,0.5626,0.5606,0.5112,0.6163,0.6185,0.6118,0.5383,0.552,0.617,0.5381,0.4629,0.3326,0.2355,0.6424,0.4941,0.3669,0.2089,0.0425,0.6658,0.6531,0.6487,0.6427,0.637,0.6138,0.6131,0.6048,0.589,0.5807
